"sk_legislatura","version","date_from","date_to","idDeputado","idLegislaturaFinal","idLegislaturaInicial","dt_inicio","anoEleicao","dt_fim","dt_inicio_real"
61,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","183",1,1,,,,
62,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","170",1,1,,,,
63,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","65",2,2,,,,
64,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","205",2,2,,,,
65,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","50",2,2,,,,
66,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","31",2,2,,,,
67,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","268",2,2,,,,
68,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","241",2,2,,,,
69,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","221",2,1,,,,
70,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","132",2,1,,,,
71,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","266",2,2,,,,
72,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","199",2,2,,,,
73,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","200",2,2,,,,
74,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","222",2,1,,,,
75,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","231",2,1,,,,
76,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","91",2,1,,,,
77,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","243",2,2,,,,
78,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","248",2,2,,,,
79,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","56",2,1,,,,
80,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","117",2,1,,,,
81,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","244",2,2,,,,
82,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","2",2,1,,,,
83,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","264",2,2,,,,
84,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","23",2,1,,,,
85,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","252",2,2,,,,
86,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","253",2,2,,,,
87,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","142",2,1,,,,
88,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","209",2,2,,,,
89,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","144",2,1,,,,
90,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","271",2,2,,,,
91,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","127",2,1,,,,
92,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","265",2,2,,,,
93,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","202",2,2,,,,
94,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","52",2,1,,,,
95,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","95",2,2,,,,
96,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","254",2,2,,,,
97,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","103",2,2,,,,
98,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","245",2,2,,,,
99,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","216",2,2,,,,
100,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","274",2,2,,,,
101,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","182",2,1,,,,
102,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","262",2,2,,,,
103,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","203",2,2,,,,
104,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","257",2,2,,,,
105,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","267",2,2,,,,
106,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","256",2,2,,,,
107,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","218",2,2,,,,
108,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","260",2,2,,,,
109,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","275",2,2,,,,
110,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","204",2,2,,,,
111,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","122",2,1,,,,
112,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","219",2,2,,,,
113,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","220",2,2,,,,
114,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","1268",2,2,,,,
115,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","246",2,1,,,,
